party_name,report_name,valuation_date,delta_cash,gamma_cash,rho,theta,vega
对手方001,交易对手风险报告_交易-收盘-自然日,2020-08-27,-75832300.3359,-3335593.9945,-285977.7558,36975.9191,-802562.4996
对手方002,交易对手风险报告_交易-收盘-自然日,2020-08-27,-20234196.3577,-116437.9505,-227474.1028,6827.2569,-163503.5625
对手方003,交易对手风险报告_交易-收盘-自然日,2020-08-27,634482986.5962,13238519.5377,-2101809.8122,-24780.2517,5388119.864
