instrument_id,valuation_date,instance,model_info,fitting_model,strike_type,tag,source
600030.SH,2020-08-26,CLOSE,"{'underlyer': {'instance': 'CLOSE', 'quote': 1.0, 'instrumentId': '600030.SH', 'field': 'close'}, 'instruments': [{'tenor': '1D', 'expiry': 0.0, 'vols': [{'quote': 0.39201058991658444, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.39201058991658444, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.39201058991658444, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '3D', 'expiry': 0.0, 'vols': [{'quote': 0.4590366547722442, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.4590366547722442, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.4590366547722442, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '5D', 'expiry': 0.0, 'vols': [{'quote': 0.457957295663635, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.457957295663635, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.457957295663635, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '10D', 'expiry': 0.0, 'vols': [{'quote': 0.45737478188691294, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.45737478188691294, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.45737478188691294, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '22D', 'expiry': 0.0, 'vols': [{'quote': 0.4581029797420623, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.4581029797420623, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.4581029797420623, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '44D', 'expiry': 0.0, 'vols': [{'quote': 0.45998564915376733, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.45998564915376733, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.45998564915376733, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '66D', 'expiry': 0.0, 'vols': [{'quote': 0.46142293197101597, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.46142293197101597, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.46142293197101597, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}, {'tenor': '132D', 'expiry': 0.0, 'vols': [{'quote': 0.47055443036492434, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.47055443036492434, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.47055443036492434, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}]}], 'save': True, 'modelName': 'TRADER_VOL', 'daysInYear': 365}",{},PERCENT,0.0,OFFICIAL
AU9999.SGE,2020-08-26,CLOSE,"{'save': True, 'instruments': [{'expiry': 0.0, 'vols': [{'quote': 0.6838092616169636, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.6838092616169636, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.6838092616169636, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '1D'}, {'expiry': 0.0, 'vols': [{'quote': 0.6274303785390833, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.6274303785390833, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.6274303785390833, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '3D'}, {'expiry': 0.0, 'vols': [{'quote': 0.6086717953759713, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.6086717953759713, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.6086717953759713, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '5D'}, {'expiry': 0.0, 'vols': [{'quote': 0.6089382737364095, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.6089382737364095, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.6089382737364095, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '10D'}, {'expiry': 0.0, 'vols': [{'quote': 0.5992136332284766, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.5992136332284766, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.5992136332284766, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '22D'}, {'expiry': 0.0, 'vols': [{'quote': 0.5920162583732806, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.5920162583732806, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.5920162583732806, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '44D'}, {'expiry': 0.0, 'vols': [{'quote': 0.5874277915073752, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.5874277915073752, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.5874277915073752, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '66D'}, {'expiry': 0.0, 'vols': [{'quote': 0.5667368753762194, 'label': '90% SPOT', 'strike': 0.0, 'percent': 0.9}, {'quote': 0.5667368753762194, 'label': '100% SPOT', 'strike': 0.0, 'percent': 1.0}, {'quote': 0.5667368753762194, 'label': '110% SPOT', 'strike': 0.0, 'percent': 1.1}], 'tenor': '132D'}], 'daysInYear': 365, 'underlyer': {'instrumentId': 'AU9999.SGE', 'quote': 1.0, 'instance': 'CLOSE', 'field': 'close'}, 'modelName': 'TRADER_VOL'}",{},PERCENT,0.0,OFFICIAL
000905.SH,2020-08-26,CLOSE,"{'underlyer': {'instance': 'CLOSE', 'field': 'close', 'quote': 1.0, 'instrumentId': '000905.SH'}, 'daysInYear': 365, 'save': True, 'instruments': [{'expiry': 0.0, 'tenor': '1D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.16157345848564128, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.16157345848564128, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.16157345848564128, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '3D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.21890316336999716, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.21890316336999716, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.21890316336999716, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '5D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.23191575213634044, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.23191575213634044, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.23191575213634044, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '10D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.25299100029645255, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.25299100029645255, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.25299100029645255, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '22D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.29391740299739105, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.29391740299739105, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.29391740299739105, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '44D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.30188015578779964, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.30188015578779964, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.30188015578779964, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '66D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.31943380794590875, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.31943380794590875, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.31943380794590875, 'percent': 1.1}]}, {'expiry': 0.0, 'tenor': '132D', 'vols': [{'label': '90% SPOT', 'strike': 0.0, 'quote': 0.3510644163943717, 'percent': 0.9}, {'label': '100% SPOT', 'strike': 0.0, 'quote': 0.3510644163943717, 'percent': 1.0}, {'label': '110% SPOT', 'strike': 0.0, 'quote': 0.3510644163943717, 'percent': 1.1}]}], 'modelName': 'TRADER_VOL'}",{},PERCENT,0.0,OFFICIAL
RB2009.SHF,2020-08-26,CLOSE,"{'modelName': 'TRADER_VOL', 'daysInYear': 365, 'save': True, 'instruments': [{'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.5823051456556612, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.5823051456556612, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.5823051456556612, 'label': '110% SPOT'}], 'tenor': '1D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.5195172326737616, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.5195172326737616, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.5195172326737616, 'label': '110% SPOT'}], 'tenor': '3D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.4860414604045776, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.4860414604045776, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.4860414604045776, 'label': '110% SPOT'}], 'tenor': '5D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.4855644906031488, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.4855644906031488, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.4855644906031488, 'label': '110% SPOT'}], 'tenor': '10D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.4771010240391633, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.4771010240391633, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.4771010240391633, 'label': '110% SPOT'}], 'tenor': '22D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.47988189179271373, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.47988189179271373, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.47988189179271373, 'label': '110% SPOT'}], 'tenor': '44D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.4854801929387783, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.4854801929387783, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.4854801929387783, 'label': '110% SPOT'}], 'tenor': '66D', 'expiry': 0.0}, {'vols': [{'percent': 0.9, 'strike': 0.0, 'quote': 0.4722114109165223, 'label': '90% SPOT'}, {'percent': 1.0, 'strike': 0.0, 'quote': 0.4722114109165223, 'label': '100% SPOT'}, {'percent': 1.1, 'strike': 0.0, 'quote': 0.4722114109165223, 'label': '110% SPOT'}], 'tenor': '132D', 'expiry': 0.0}], 'underlyer': {'instrumentId': 'RB2009.SHF', 'instance': 'CLOSE', 'field': 'close', 'quote': 1.0}}",{},PERCENT,0.0,OFFICIAL
