subsidiary,valuation_date,delta_cash,gamma_cash,report_name,rho,theta,vega
子公司001,2020-08-27,33659564.6275,784502.0712,各子公司整体风险报告_交易-收盘-自然日,1528.1802,-21751.1635,458975.698
子公司002,2020-08-27,24650511.0664,152139.5128,各子公司整体风险报告_交易-收盘-自然日,-121242.3947,-2202.0893,186525.4693
子公司003,2020-08-27,-614850790.0477,-5161824.1477,各子公司整体风险报告_交易-收盘-自然日,3973253.9775,63351.4917,-5515323.8551
子公司004,2020-08-27,552569.6894,31740.9122,各子公司整体风险报告_交易-收盘-自然日,957.112,-1064.1726,2983.6828
子公司005,2020-08-27,12050645.6832,222346.0005,各子公司整体风险报告_交易-收盘-自然日,142163.9411,-4488.9413,109829.7515
子公司006,2020-08-27,10268073.7576,-207287.3755,各子公司整体风险报告_交易-收盘-自然日,485642.1329,-121.5085,-203374.8178
子公司007,2020-08-27,55229224.4085,2436470.5026,各子公司整体风险报告_交易-收盘-自然日,350633.8633,-58754.7175,720748.512
