report_name,underlyer_instrument_id,valuation_date,delta,delta_cash,exfsid,gamma,gamma_cash,party_name,pnl_change,report_type,rho,scenario_name,scenario_type,subsidiary,theta,vega
全市场分品种风险报告_交易-收盘-自然日,000905.SH,2020-08-27,5530.8114,22941265.2748,000905.SH,34.3457,142462.4915,0.0,0.0,0.0,409505.3987,0.0,BASE,0.0,-5525.731,113988.0842
全市场分品种风险报告_交易-收盘-自然日,600030.SH,2020-08-27,4608964.7341,55229224.4085,600030.SH,203327.2555,2436470.5026,0.0,0.0,0.0,350633.8633,0.0,BASE,0.0,-58754.7175,720748.512
全市场分品种风险报告_交易-收盘-自然日,AU9999.SGE,2020-08-27,11449.7817,31294966.9849,AU9999.SGE,209.5866,572849.8754,0.0,0.0,0.0,210590.2386,0.0,BASE,0.0,-20228.511,237042.1381
全市场分品种风险报告_交易-收盘-自然日,RB2009.SHF,2020-08-27,-50.6057,-587905657.4832,RB,-0.4212,-4893695.3934,0.0,0.0,0.0,3862207.3117,0.0,BASE,0.0,59477.8586,-5311414.2937
