subsidiary,valuation_date,delta_cash,gamma_cash,report_name,rho,theta,vega
子公司001,2020-08-27,31757233.2549,865126.8503,各子公司整体风险报告_交易-收盘-自然日,-37676.478,-19215.1306,457147.6467
子公司002,2020-08-27,24303350.0492,179089.0679,各子公司整体风险报告_交易-收盘-自然日,-120217.686,-1643.2242,185887.7124
子公司003,2020-08-27,-613970306.4057,-5273987.9076,各子公司整体风险报告_交易-收盘-自然日,3911533.1211,62205.6343,-5523222.4073
子公司004,2020-08-27,411778.0722,34663.5867,各子公司整体风险报告_交易-收盘-自然日,738.6886,-712.2299,2537.8041
子公司005,2020-08-27,12506167.379,182980.5416,各子公司整体风险报告_交易-收盘-自然日,138320.4727,-5018.766,108971.7675
子公司006,2020-08-27,10001219.1963,-171145.9936,各子公司整体风险报告_交易-收盘-自然日,516487.1887,203.8475,-201114.2794
子公司007,2020-08-27,49587632.7198,2391696.5016,各子公司整体风险报告_交易-收盘-自然日,318706.5038,-52114.4069,671376.4585
