book_name,underlyer_instrument_id,valuation_date,delta,delta_cash,exfsid,gamma,gamma_cash,pricing_environment,report_name,rho,theta,vega
子公司001,000905.SH,2020-08-27,991.1026,4110996.8312,000905.SH,32.6801,135553.9172,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,-326275.3701,-3922.5939,213714.9095
子公司001,AU9999.SGE,2020-08-27,8996.1339,24588566.1028,AU9999.SGE,345.7876,945119.4915,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,196080.4767,-11806.914,227745.9559
子公司002,000905.SH,2020-08-27,-715.4603,-2967659.2535,000905.SH,-18.0946,-75054.7716,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,-11834.2717,2784.3361,-18617.2715
子公司002,RB2009.SHF,2020-08-27,2.428,28207472.1215,RB,0.0481,558888.707,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,-63533.7555,-1734.9485,194866.0654
子公司003,RB2009.SHF,2020-08-27,-54.9023,-637820806.1712,RB,-1.1358,-13195348.8132,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,1957123.4299,24305.1229,-5334689.8104
子公司004,AU9999.SGE,2020-08-27,225.4137,616109.0511,AU9999.SGE,10.8731,29718.7203,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,1045.9515,-1253.5609,3140.9946
子公司005,000905.SH,2020-08-27,3248.3877,13473994.8034,000905.SH,30.5196,126592.3698,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,127627.4755,-6195.5401,106135.5445
子公司006,000905.SH,2020-08-27,2158.8463,8954683.5516,000905.SH,-27.4414,-113824.2895,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,582642.6514,981.6697,-191159.6735
子公司007,600030.SH,2020-08-27,1870996.667,22420153.0605,600030.SH,150368.6118,1801867.0756,交易-收盘-自然日,各子公司分品种风险报告_交易-收盘-自然日,152385.0831,-22180.4957,376809.4837
